Name,Address,Phone,Rating,AvgCost,Known For,Popular Dishes,Cuisine,Reviews,Location
Theobroma,"Shop 2, C 11, Ground Floor, Mezzanine Floor, Safdurjung Development Area, Community Centre, SDA, New Delhi",+918182881881,4.4,300,Pretty Decor|Coffee Date|Great Value|Interior|Courteous Staff|Nice Ambience|,Millionaire Brownie|Opium Pastry|Cookie Brownie|Hazelnut Mousse|Chocolate Walnut|Walnut Brownie|,Bakery|Desserts|,Dining|Delivery|Millionaire Brownie|Opium Pastry|Cookie Brownie|Hazelnut Mousse|Chocolate Walnut|Walnut Brownie|Pretty Decor|Coffee Date|Great Value|Interior|Courteous Staff|Nice Ambience|,South Delhi
WOW! Momo,"8-A, Hauz Khas Village, New Delhi",+919147116042,4.1,400,Casual Seating Area|Economical|Interior|Cutlery|Concept|Decent Place|,Momos Augratin|Chocolate Momo|Momo Burger|Schezwan Chicken|Sizzlers|Veg Momos|,Momos|Fast Food|Tibetan|,Dining|Delivery|Momos Augratin|Chocolate Momo|Momo Burger|Schezwan Chicken|Sizzlers|Veg Momos|Casual Seating Area|Economical|Interior|Cutlery|Concept|Decent Place|,South Delhi
Jhakkas Bombay Pav Bhaji,"E-20, Shree Krishna Mandir, Central Market, Lajpat Nagar 1, New Delhi",+919818181829,4.0,200,Drive through|Chirpy Crowd|Good Portions|Cozy Ambiance|Street Food|Great Recommendations|,,Street Food|Maharashtrian|North Indian|Pizza|Sandwich|Beverages|,Dining|Delivery|Drive through|Chirpy Crowd|Good Portions|Cozy Ambiance|Street Food|Great Recommendations|,South Delhi
Bikkgane Biryani,"252, 2nd Floor, Shahpur Jat, New Delhi",+911140192919,3.9,0,Gulab Jamun Bomb|Andhra Chicken Fry|Mutton Dry Roast|Veg Handi Biryani|Paneer 65|Dessert Counter|,Extensive range of Hyderabadi biryanis and array of tikkas|kebabs|and curries to choose from|,Biryani|North Indian|Mughlai|Hyderabadi|Andhra|,Gulab Jamun Bomb|Andhra Chicken Fry|Mutton Dry Roast|Veg Handi Biryani|Paneer 65|Dessert Counter|Yummy Dishes|Unique Menu|Fast Delivery Service|Friendly Place|Good Portion Size|Best Services|,South Delhi
La Pino'z Pizza,"HPCL Evergreen Service, Station Mehrauli Road, Green Park, New Delhi",+919319029187,3.9,200,,,,,South Delhi
RP's Rice Bowlz,"50 D, Savitri Nagar, Main Road, Malviya Nagar, New Delhi",+919654848584,3.9,200,Best Food|Tasty|Reasonable Prices|Delicious Taste|Tamper Proof Packaging|Packing|,Standard Thali|Deluxe Veg Thali|Paneer Parantha|Chicken Tikka Masala|Rice Bowl|Rajma|,North Indian|South Indian|Mughlai|Chinese|Fast Food|,Standard Thali|Deluxe Veg Thali|Paneer Parantha|Chicken Tikka Masala|Rice Bowl|Rajma|Best Food|Tasty|Reasonable Prices|Delicious Taste|Tamper Proof Packaging|Packing|,South Delhi
Sagar Ratna,"Ground Floor, DLF South Square, Sarojini Nagar, New Delhi",+919971481424,4.0,600,Relaxed Atmosphere|Comfortable Seating Area|Courteous Staff|Good Ambience|Ambiance|Quantity|,,South Indian|North Indian|Desserts|Beverages|,Dining|Delivery|Relaxed Atmosphere|Comfortable Seating Area|Courteous Staff|Good Ambience|Ambiance|Quantity|,South Delhi
The Burger Club,"1st Floor, DLF South Square, Sarojini Nagar, New Delhi",+919560349272,3.9,700,Cost Worthy|Service is Great|Behavior|Cheap|Good Crowd|Seating Arrangements|,Club Burger|Spicy Chicken|French Fries|Chicken Burger|Cheesy Fries|Burgers|,Cafe|Coffee|Burger|Fast Food|Beverages|,Dining|Delivery|Club Burger|Spicy Chicken|French Fries|Chicken Burger|Cheesy Fries|Burgers|Cost Worthy|Service is Great|Behavior|Cheap|Good Crowd|Seating Arrangements|,South Delhi
Burger Singh - Big Punjabi Burgers,"194, Pocket D-14, TF Block, Sector 7, Rohini, New Delhi",+918767121212,4.0,150,Good Wifi|Customizable Food|Good Taste|Elaborate Menu|Fresh Food|Proper Packaging|,,Burger|Fast Food|American|Desserts|Beverages|,Good Wifi|Customizable Food|Good Taste|Elaborate Menu|Fresh Food|Proper Packaging|,North Delhi
McDonald's,"Shop GA-1 & GA- 3, Ground Floor, Metro Walk Mall, Sector 10, Rohini, New Delhi",+919899974396,4.1,400,Cashless Payments|Order Online|Good Wifi|Family Crowd|Young Crowd|Student Crowd|,,Burger|Fast Food|Beverages|Coffee|,Dining|Delivery|Cashless Payments|Order Online|Good Wifi|Family Crowd|Young Crowd|Student Crowd|,North Delhi
BTW,"1, Garg Trade Center, Sector 11, Rohini, New Delhi",+911142331777,3.9,400,Drive through|Office Crowd|Street Food|Nice Taste|Prompt Service|Hygiene|,Badam Milkshake|Matar Kulcha|Pao Bhaji|Chole|Platter|Snacks|,North Indian|South Indian|Chinese|Mithai|,Dining|Delivery|Badam Milkshake|Matar Kulcha|Pao Bhaji|Chole|Platter|Snacks|Drive through|Office Crowd|Street Food|Nice Taste|Prompt Service|Hygiene|,North Delhi
Berco's - If You Love Chinese,"GA-06, Metro Walk Mall, Rohini, New Delhi",+919311777663,4.0,900,Service is Great and Fast|Good Server|Relaxed Atmosphere|Themed Decor|Excellent Hospitality|Quality of Food|,Butter Pepper Garlic Noodles|Crispy Prawns|Panfried Noodles|Barbeque Chicken|Crispy Chilli Potatoes|Singapori Noodles|,Chinese|Momos|Asian|,Dining|Delivery|Butter Pepper Garlic Noodles|Crispy Prawns|Panfried Noodles|Barbeque Chicken|Crispy Chilli Potatoes|Singapori Noodles|Service is Great and Fast|Good Server|Relaxed Atmosphere|Themed Decor|Excellent Hospitality|Quality of Food|,North Delhi
Billu's Hut,"G 28, Aggarwal Millenium Tower, Netaji Subhash Place, New Delhi",+919773921114,3.9,200,Cheap Prices|Reasonable Cost|Pocket Friendly Place|Good Quantity|Fast Service|Low Price|,Roadside Pasta|Mozzarella Sandwich|Maggie Pasta|Schezwan Pasta|White Sauce Cheese Pasta|Belgian Shake|,North Indian|Chinese|Fast Food|Pasta|Pizza|Sandwich|Shake|Beverages|,Roadside Pasta|Mozzarella Sandwich|Maggie Pasta|Schezwan Pasta|White Sauce Cheese Pasta|Belgian Shake|Cheap Prices|Reasonable Cost|Pocket Friendly Place|Good Quantity|Fast Service|Low Price|,North Delhi
Wah Ji Wah,"Shop 142, Pocket 26, Sector 24, Opposite Canara Bank, Rohini, New Delhi",+919205200205,3.8,400,Plenty of Vegetarian Options|Pocket Friendly|Polite Staff|Great Taste|Food Quality|Quantity|,,Rolls|North Indian|Chinese|Kebab|,Dining|Delivery|Plenty of Vegetarian Options|Pocket Friendly|Polite Staff|Great Taste|Food Quality|Quantity|,North Delhi
Wah Bhai Wah 2 The Vaishno Rasoi,"Flat 781, Ground Floor, Block B, Sector 1, Near Asha Kirana, Rohini, New Delhi",+919625114714,3.5,100,,,,,North Delhi
The Burger Club,"Property 4, Block-C, Pocket 9, Near Metro Pillar 396, Sector-7, Rohini, New Delhi",+911143012735,4.2,700,Everything was very Good|Plenty of Vegetarian Options|Unlimited Refills|Cordial Staff|Not very Crowded|Cozy Ambiance|,Loaded Pizzas|Choco Lava|Onion Rings|Burgers|Tea|Mojito|,Cafe|Coffee|Burger|Fast Food|Beverages|,Dining|Delivery|Loaded Pizzas|Choco Lava|Onion Rings|Burgers|Tea|Mojito|Everything was very Good|Plenty of Vegetarian Options|Unlimited Refills|Cordial Staff|Not very Crowded|Cozy Ambiance|,North Delhi
Pizza Galleria,"54-A, KH 262/258/217/4, Ground Floor, Near Garhwal Bakers, Block A, Adarsh Nagar, Rajan Babu Road, Shalimar Bagh, New Delhi",+919718197999,3.9,400,Variety of Pizza|Quick Delivery|Weekend Brunch|Tandoori|Contactless Delivery|Family Crowd|,Italian Pizza|White Pasta|Cheese Burst|Choco Lava|Cheesecake|,Pizza|Fast Food|Beverages|,Dining|Delivery|Italian Pizza|White Pasta|Cheese Burst|Choco Lava|Cheesecake|Variety of Pizza|Quick Delivery|Weekend Brunch|Tandoori|Contactless Delivery|Family Crowd|,North Delhi
Madras Cafe,"I-1/29, Sector 16, Rohini, New Delhi",+919873428969,3.9,300,Plenty of Vegetarian Options|Chirpy Crowd|Unlimited Refills|Elegantly Decorated|Cozy Ambiance|Economical|,,South Indian|Chinese|,Dining|Delivery|Plenty of Vegetarian Options|Chirpy Crowd|Unlimited Refills|Elegantly Decorated|Cozy Ambiance|Economical|,North Delhi
Shree Gopal Ji Chole Bhature,"Flat 148, Pocket 7, Sector 2, Rohini, New Delhi",+919891065064,4.4,100,Brunch|Good Packing|Quick Service|Preparation|Owner|Great Taste|,Paneer Bhatura|Chole Rice|Cholle Bhature|Raita|Salad|Chutney|,North Indian|,Paneer Bhatura|Chole Rice|Cholle Bhature|Raita|Salad|Chutney|Brunch|Good Packing|Quick Service|Preparation|Owner|Great Taste|,North Delhi
Faasos - Wraps & Rolls,"Plot 10, Ground Floor, Sahabad Extension, Opposite Dtu Gate 1, Sector 17, Rohini, New Delhi",+917700020020,4.1,200,Jumbo Chicken Roll|Masala Paneer Tikka Wrap|Veggie Wrap|Choco Lava|Biryani|,,Rolls|Wraps|Fast Food|,Jumbo Chicken Roll|Masala Paneer Tikka Wrap|Veggie Wrap|Choco Lava|Biryani|,North Delhi
Hira Sweets,"Janakpuri East Metro Station, Janakpuri, New Delhi",+918377992965,4.1,500,Sweetshop+Restaurant|Family Environment|Breakfast Menu|Good Value|Seating Arrangement|Great Value|,Crunchy Roll|Puri Sabzi|South Indian Platter|Dhokla|Rasmalai|Rasgulla|,Mithai|North Indian|South Indian|Chinese|Street Food|,Dining|Delivery|Crunchy Roll|Puri Sabzi|South Indian Platter|Dhokla|Rasmalai|Rasgulla|Sweetshop+Restaurant|Family Environment|Breakfast Menu|Good Value|Seating Arrangement|Great Value|,North Delhi
La Pino'z Pizza,"Shop 9, Smart Complex, DC Chowk, Sector 9, Rohini, New Delhi",+917428799700,3.9,500,Excellent Variety|Variety of Pizza|Good Wifi|Amazing Taste|Fast Delivery|Elaborate Menu|,,Pizza|Italian|Pasta|Fast Food|Beverages|Desserts|,Dining|Delivery|Excellent Variety|Variety of Pizza|Good Wifi|Amazing Taste|Fast Delivery|Elaborate Menu|,North Delhi
Jhakkas Bombay Pav Bhaji,"Central Market, Punjabi Bagh, New Delhi",+919999646459,4.0,150,Street Food|Flavour|Good Food|Prices|Timely Service|Quality|,Tawa Pulav|Cheese Vada Pav|Bombay Sandwich|Vada Pao|Pao Bhaji|,Street Food|Maharashtrian|North Indian|Pizza|Sandwich|Beverages|,Tawa Pulav|Cheese Vada Pav|Bombay Sandwich|Vada Pao|Pao Bhaji|Street Food|Flavour|Good Food|Prices|Timely Service|Quality|,North Delhi
Behrouz Biryani,"Plot 10, Ground Floor, Sahabad Extension, Opposite Dtu Gate 1, Sector 17, Rohini, New Delhi",+917700050050,4.2,500,Flavour|Packaging|Quality|Value for Money|Price|Food|,Paneer Subz Biryani|Briyani|Raita|Gulab Jamun|Brownie|Chicken|,Biryani|Kebab|Hyderabadi|Lucknowi|,Paneer Subz Biryani|Briyani|Raita|Gulab Jamun|Brownie|Chicken|Flavour|Packaging|Quality|Value for Money|Price|Food|,North Delhi
KFC,"17, Unity One Mall, MLCP Plot, Near Rohini Unity Mall, Rohini, New Delhi",+918042754444,4.2,400,Casual Seating Area|Office Crowd|Economical|Good Crowd|Great Recommendations|Low Price|,Strawberry Storm|Ginger Chicken|Popcorn Chicken|French Fries|,Burger|Fast Food|,Dining|Delivery|Strawberry Storm|Ginger Chicken|Popcorn Chicken|French Fries|Casual Seating Area|Office Crowd|Economical|Good Crowd|Great Recommendations|Low Price|,North Delhi
Biryani Blues,"2-3 Floor, C-8, Sector 7, Prashant Vihar, New Delhi",+918010801000,4.2,300,Jain Food Options|Keto Options|Extensive Bar Menu|Good Portion Size|Proper Packaging|Food Presentation|,Grilled Chicken Steak|Paneer Biryani|Chutney|Chicken|,Biryani|Kebab|Desserts|,Grilled Chicken Steak|Paneer Biryani|Chutney|Chicken|Jain Food Options|Keto Options|Extensive Bar Menu|Good Portion Size|Proper Packaging|Food Presentation|,North Delhi
Apni Rasoi,"G-7/188, Dividing Road, Sector 16, Rohini, New Delhi",+919871321388,3.7,250,Customizations Available|Lip Smacking Food|Great Recommendations|Polite Staff|Nice Food|Good Service|,,North Indian|Chinese|Fast Food|,Customizations Available|Lip Smacking Food|Great Recommendations|Polite Staff|Nice Food|Good Service|,North Delhi
ZAZA 22 Spice Biryani,"First Floor, C9/19, Sector 7, Rohini, New Delhi",+918068172526,4.1,250,,,Biryani|North Indian|,,North Delhi
Haldiram's,"Ground Floor, D-Mall, Near Rohini West Metro Station, Sector 10, Rohini, New Delhi",+911127934591,4.0,400,Office Crowd|Drive through|Self Service|Economical|Cozy Ambiance|Clean Place|,Vegetable Chowmein|Chole Bhatoorey|Peas Pulao|Rajkachori|Veg Sandwich|Pao Bhaji|,North Indian|Mithai|South Indian|Fast Food|Street Food|Chinese|,Dining|Delivery|Vegetable Chowmein|Chole Bhatoorey|Peas Pulao|Rajkachori|Veg Sandwich|Pao Bhaji|Office Crowd|Drive through|Self Service|Economical|Cozy Ambiance|Clean Place|,North Delhi
Domino's Pizza,"Shop 13 & 14, Ground Floor, D Mall, Plot 1B5, Rohini, New Delhi",+911141834344,4.1,400,,,Pizza|Fast Food|,Dining|Delivery|,North Delhi
Burger King,"Shop GD-01, Ground Floor, 05-D Block, Metro Walk, Sector 10, Rohini, New Delhi",+918291082692,4.2,400,Not very Crowded|Elegantly Decorated|Inexpensive|Great Ambiance|Polite Staff|Great Recommendations|,Cheese Whopper|Vanilla Softy|Chilly Cheese Burger|Cheesy Fries|Burgers|Shakes|,Burger|Fast Food|Street Food|,Dining|Delivery|Cheese Whopper|Vanilla Softy|Chilly Cheese Burger|Cheesy Fries|Burgers|Shakes|Not very Crowded|Elegantly Decorated|Inexpensive|Great Ambiance|Polite Staff|Great Recommendations|,North Delhi
Sagar Ratna,"FD 2, Ground Floor, Near Metro Station, Pitampura, New Delhi",+917428386412,4.0,600,Relaxed Atmosphere|Owner|Portion Size|Good Taste|Food Quality|Ambiance|,Rava Onion Masala|Mixed Uttapam|Dahi Vada|Dosa|Chutneys|Coffee|,South Indian|North Indian|Desserts|Beverages|,Dining|Delivery|Rava Onion Masala|Mixed Uttapam|Dahi Vada|Dosa|Chutneys|Coffee|Relaxed Atmosphere|Owner|Portion Size|Good Taste|Food Quality|Ambiance|,North Delhi
Punjabi Angithi,"Shop 31 & 32, DDA Market, Sector 16, Rohini, New Delhi",+919315412343,4.0,500,Comfortable Seating Area|Super Service|Relaxed Atmosphere|Packed on Weekends|Fast Delivery Service|Best Services|,Paneer Tikka Tandoori|Dum Aloo Kashmiri|Paneer Lababadar|Afghani Chaap Roll|Palak Kofta|Daal Makhini|,North Indian|Chinese|Rolls|Momos|Street Food|Pasta|,Dining|Delivery|Paneer Tikka Tandoori|Dum Aloo Kashmiri|Paneer Lababadar|Afghani Chaap Roll|Palak Kofta|Daal Makhini|Comfortable Seating Area|Super Service|Relaxed Atmosphere|Packed on Weekends|Fast Delivery Service|Best Services|,North Delhi
Pizza Hut,"Shop F A-7 and 8, Unitech Metro Walk, Sector 10, Rohini, New Delhi",+911147531893,3.5,800,Nice Place|Food Quality|Staff|Ambience|Taste|,,Pizza|Fast Food|Pasta|Beverages|Desserts|,Dining|Delivery|Nice Place|Food Quality|Staff|Ambience|Taste|,North Delhi
Wah Bhai Wah,"A 1/168 & 169, Sector 4, Rohini, New Delhi",+917838353055,3.7,400,Pocket Friendly|Inexpensive|Seating Arrangement|Hygiene|Good Food|Good Service|,Paneer Tika|Chaap|Shahi Paneer|Dal|,North Indian|Fast Food|Momos|,Dining|Delivery|Paneer Tika|Chaap|Shahi Paneer|Dal|Pocket Friendly|Inexpensive|Seating Arrangement|Hygiene|Good Food|Good Service|,North Delhi
Kwality Wall�s Frozen Dessert and Ice Cream Shop,"House 42, Block G, Pocket-8, Rohini, New Delhi",+918368027665,4.4,100,,,,,North Delhi
RollsKing,"Shop G-53, Ground Floor, Aggarwal Metro Heights, PitamPura, Saraswati Vihar, Netaji Subhash Place, New Delhi",+919310023423,4.0,200,Chaap Roll|Paneer Roll|Chicken Roll|Rolls|,,Rolls|Fast Food|North Indian|,Chaap Roll|Paneer Roll|Chicken Roll|Rolls|,North Delhi
Bikkgane Biryani,"Khasra 1001 & 1002, Village Rithala, Rohini, New Delhi",+919888321243,4.1,250,Good Food Quality|Good Packing|Delicious Taste|Good Service|Excellent Service|Good Taste|,Andhra Chicken Fry|Chicken 65|Cheesecake|Biryani|,Biryani|North Indian|Mughlai|Hyderabadi|Andhra|,Andhra Chicken Fry|Chicken 65|Cheesecake|Biryani|Good Food Quality|Good Packing|Delicious Taste|Good Service|Excellent Service|Good Taste|,North Delhi
Subway,"Shop 6/5/27, Sector 11, Garg Trade Center, Rohini, New Delhi",+911144747162,3.9,400,,,,Dining|Delivery|,North Delhi
Pandit Ji Parantha Hut,"Shop 16, Plot CS/OCF 2, Baaz Mall, Sector 24, Rohini, New Delhi",+918588008900,4.2,250,Student Crowd|Good Wifi|Young Crowd|Elaborate Menu|Spicy|Good Taste|,,North Indian|Street Food|Beverages|,Dining|Delivery|Student Crowd|Good Wifi|Young Crowd|Elaborate Menu|Spicy|Good Taste|,North Delhi
